organisation,fqdn,is_expired,not_valid_before,not_valid_after,san_dns_names,subject_dn,issuer_dn,common_names,ip,prefix,asn,asn_description,last_update_asn,last_update_asn_desc,country,registrar
APPSolutely B.V.,broker.appsolutely.nl,Yes,2022-09-02T11:24:55,2022-12-05T00:00:00,broker.appsolutely.nl,"CN=broker.appsolutely.nl,O=APPSolutely B.V.,L=Utrecht,ST=Utrecht,C=NL,2.5.4.5=00000003675113250000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",broker.appsolutely.nl,75.2.77.150,75.2.64.0/20,16509,"AMAZON-02, US",2018-01-10,2000-05-04,US,arin
AllesKomtGoed ICT B.V.,pki.everyoffice.nl,Yes,2021-12-01T08:50:09,2022-12-04T08:50:09,pki.everyoffice.nl,"CN=pki.everyoffice.nl,2.5.4.5=00000003506177290000,O=AllesKomtGoed ICT B.V.,L=Meppel,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",pki.everyoffice.nl,87.233.154.112,87.233.128.0/18,15703,"TRUESERVER-AS TrueServer BV AS number, NL",2005-07-07,2000-09-19,NL,ripencc
Allianz Benelux N.V.,deelnemerspensioen.allianz.nl,Yes,2022-06-03T07:41:26,2022-12-05T00:00:00,deelnemerspensioen.allianz.nl,"CN=deelnemerspensioen.allianz.nl,O=Allianz Benelux N.V.,L=Rotterdam,ST=Zuid-Holland,C=NL,2.5.4.5=00000003593954350000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",deelnemerspensioen.allianz.nl,13.248.206.174,13.248.192.0/20,16509,"AMAZON-02, US",2018-07-11,2000-05-04,US,arin
Atos Nederland B.V.,dmidoffice.dommeldam.nl,Yes,2022-04-15T13:10:07,2022-12-04T13:10:07,dmidoffice.dommeldam.nl,"CN=dmidoffice.dommeldam.nl,2.5.4.5=00000003301327620000,O=Atos Nederland B.V.,L=Amstelveen,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",dmidoffice.dommeldam.nl,212.159.202.150,212.159.192.0/19,29063,"ATOS-NL-AS Eindhoven, NL",2000-08-03,2003-05-22,NL,ripencc
Atos Nederland B.V.,dloket.dommeldam.nl,Yes,2022-05-09T14:10:45,2022-12-04T14:10:45,dloket.dommeldam.nl,"CN=dloket.dommeldam.nl,2.5.4.5=00000003301327620000,O=Atos Nederland B.V.,L=Amstelveen,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",dloket.dommeldam.nl,212.159.202.149,212.159.192.0/19,29063,"ATOS-NL-AS Eindhoven, NL",2000-08-03,2003-05-22,NL,ripencc
Brocacef Centrale Diensten B.V.,overheid.brocacef.nl,Yes,2021-01-25T10:42:28,2022-01-25T10:52:00,overheid.brocacef.nl,"CN=overheid.brocacef.nl,O=Brocacef Centrale Diensten B.V.,L=Maarssen,ST=Utrecht,C=NL,2.5.4.5=00000003081091970000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",overheid.brocacef.nl,185.46.194.20,185.46.194.0/24,62125,"PEOPLEWARE Peopleware Network, NL",2014-02-04,2014-02-04,NL,ripencc
CIBG,publicaties.cibg.nl,Yes,2021-07-16T14:52:44,2022-08-04T14:52:44,publicaties.cibg.nl,"CN=publicaties.cibg.nl,2.5.4.5=00000002006756402002,O=CIBG,L=Den Haag,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",publicaties.cibg.nl,162.13.104.99,162.13.0.0/16,15395,"RACKSPACE-LON, GB",1992-06-30,2000-06-21,GB,ripencc
CIBG,aanbieders.lerarenportfolio.nl,Yes,2021-11-30T14:40:04,2022-12-04T14:40:04,"mijn.lerarenportfolio.nl,aanbieders.lerarenportfolio.nl,beheer.lerarenportfolio.nl","CN=mijn.lerarenportfolio.nl,2.5.4.5=00000002006756402002,O=CIBG,L=Den Haag,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mijn.lerarenportfolio.nl,82.201.78.145,82.201.0.0/17,15879,"KPN-INTERNEDSERVICES KPN Internedservices, NL",2003-09-18,2000-10-26,NL,ripencc
CIBG,mijn.lerarenportfolio.nl,Yes,2021-11-30T14:40:04,2022-12-04T14:40:04,"mijn.lerarenportfolio.nl,aanbieders.lerarenportfolio.nl,beheer.lerarenportfolio.nl","CN=mijn.lerarenportfolio.nl,2.5.4.5=00000002006756402002,O=CIBG,L=Den Haag,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mijn.lerarenportfolio.nl,82.201.78.143,82.201.0.0/17,15879,"KPN-INTERNEDSERVICES KPN Internedservices, NL",2003-09-18,2000-10-26,NL,ripencc
Deutsche Telekom Healthcare Solutions Netherlands B.V.,www.perined-data.nl,Yes,2022-05-04T11:30:02,2022-12-04T11:30:02,www.perined-data.nl,"CN=www.perined-data.nl,2.5.4.5=00000003110564410000,O=Deutsche Telekom Healthcare Solutions Netherlands B.V.,L=Bunnik,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",www.perined-data.nl,89.221.183.164,89.221.176.0/21,41696,"RAM-, NL",2006-10-09,2006-10-10,NL,ripencc
Dienst Uitvoering Onderwijs,vpn.bzkdgvbrnpr.odc-noord.nl,Yes,2021-08-31T13:36:10,2022-08-31T13:46:00,"vpn.bzkdgvbrnpr.odc-noord.nl,www.vpn.bzkdgvbrnpr.odc-noord.nl","CN=vpn.bzkdgvbrnpr.odc-noord.nl,O=Dienst Uitvoering Onderwijs,L=Groningen,ST=Groningen,C=NL","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",vpn.bzkdgvbrnpr.odc-noord.nl,147.181.36.46,147.181.36.0/22,202553,"DUO-NL-AS, NL",1991-07-05,2016-07-26,NL,ripencc
Dienst Uitvoering Onderwijs,vpn.bzknpr.odc-noord.nl,Yes,2021-11-09T13:58:25,2022-11-09T14:08:00,vpn.bzknpr.odc-noord.nl,"CN=vpn.bzknpr.odc-noord.nl,O=Dienst Uitvoering Onderwijs,L=Groningen,ST=Groningen,C=NL","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",vpn.bzknpr.odc-noord.nl,147.181.37.130,147.181.36.0/22,202553,"DUO-NL-AS, NL",1991-07-05,2016-07-26,NL,ripencc
Dienst Uitvoering Onderwijs,vpn.bzkprd.odc-noord.nl,Yes,2021-11-25T07:26:55,2022-11-25T07:36:00,vpn.bzkprd.odc-noord.nl,"CN=vpn.bzkprd.odc-noord.nl,O=Dienst Uitvoering Onderwijs,L=Groningen,ST=Groningen,C=NL","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",vpn.bzkprd.odc-noord.nl,147.181.37.72,147.181.36.0/22,202553,"DUO-NL-AS, NL",1991-07-05,2016-07-26,NL,ripencc
Dienst Uitvoering Onderwijs,vt-digid.ib-groep.nl,Yes,2022-03-29T10:30:24,2022-12-04T10:30:24,vt-digid.ib-groep.nl,"CN=vt-digid.ib-groep.nl,2.5.4.5=00000001800866472000,O=Dienst Uitvoering Onderwijs,L=Groningen,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",vt-digid.ib-groep.nl,194.171.77.15,194.171.0.0/16,1103,"SURFNET-NL SURFnet, The Netherlands, NL",1995-06-12,1993-09-01,NL,ripencc
Edubookers,rotterdam.subsidiedossier.nl,Yes,2022-08-08T13:20:02,2022-12-04T13:20:02,rotterdam.subsidiedossier.nl,"CN=rotterdam.subsidiedossier.nl,2.5.4.5=00000003621085810000,O=Edubookers,L=Eindhoven,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",rotterdam.subsidiedossier.nl,185.71.63.150,185.71.60.0/22,60781,"LEASEWEB-NL-AMS-01 Netherlands, NL",2014-09-25,2013-05-13,NL,ripencc
European Patent Organisation,epo-eid.org,Yes,2022-07-14T07:40:49,2022-12-05T00:00:00,epo-eid.org,"CN=epo-eid.org,O=European Patent Organisation,L=Rijswijk,ST=Zuid-Holland,C=NL,2.5.4.5=00000006000000001000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",epo-eid.org,75.2.77.150,75.2.64.0/20,16509,"AMAZON-02, US",2018-01-10,2000-05-04,US,arin
Gemeenschappelijke Regeling BghU,mijn.bghu.nl,Yes,2022-09-02T13:10:14,2022-12-04T13:10:14,mijn.bghu.nl,"CN=mijn.bghu.nl,2.5.4.5=00000001852712716000,O=Gemeenschappelijke Regeling BghU,L=Utrecht,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mijn.bghu.nl,176.62.195.67,176.62.192.0/21,8315,"SENTIA, NL",2011-06-09,2006-01-05,NL,ripencc
Gemeente Almelo,veiligmailen.almelo.nl,Yes,2021-12-16T14:33:32,2022-12-05T00:00:00,veiligmailen.almelo.nl,"CN=veiligmailen.almelo.nl,O=Gemeente Almelo,L=Almelo,ST=Overijssel,C=NL,2.5.4.5=00000003082148580000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",veiligmailen.almelo.nl,104.214.231.110,104.208.0.0/13,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",2014-10-01,1997-03-31,US,arin
Gemeente Arnhem,werk.arnhem.nl,Yes,2022-03-20T19:34:24,2022-12-05T00:00:00,"werk.arnhem.nl,www.werk.arnhem.nl","CN=werk.arnhem.nl,O=Gemeente Arnhem,L=Arnhem,ST=Gelderland,C=NL,2.5.4.5=00000001001825112000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",werk.arnhem.nl,195.86.59.25,195.86.0.0/16,3257,"GTT-BACKBONE GTT, US",1996-08-14,1994-09-30,US,ripencc
Gemeente Beuningen,productie.postex.munitax.nl,Yes,2021-11-23T11:30:35,2022-12-04T11:30:35,productie.postex.munitax.nl,"CN=productie.postex.munitax.nl,2.5.4.5=00000004001094920000,O=Gemeente Beuningen,L=Beuningen Gld,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",productie.postex.munitax.nl,65.9.86.27,65.9.86.0/24,16509,"AMAZON-02, US",2018-09-18,2000-05-04,US,arin
Gemeente Buren,formulieren.buren.nl,Yes,2022-03-16T11:30:32,2022-12-04T11:30:32,formulieren.buren.nl,"CN=formulieren.buren.nl,2.5.4.5=00000001807287684000,O=Gemeente Buren,L=Maurik,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",formulieren.buren.nl,87.233.198.198,87.233.192.0/18,15703,"TRUESERVER-AS TrueServer BV AS number, NL",2005-07-07,2000-09-19,NL,ripencc
Gemeente Den Helder,ediensten-sociaaldomein.denhelder.nl,Yes,2022-03-23T14:18:16,2022-12-05T00:00:00,ediensten-sociaaldomein.denhelder.nl,"CN=ediensten-sociaaldomein.denhelder.nl,O=Gemeente Den Helder,L=Den Helder,ST=Noord-Holland,C=NL,2.5.4.5=00000001001945907000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",ediensten-sociaaldomein.denhelder.nl,194.53.75.201,194.53.72.0/22,28878,"SIGNET-AS, NL",1993-07-19,2003-03-25,NL,ripencc
Gemeente Eindhoven,opname.eindhoven.nl,Yes,2022-02-18T14:11:16,2022-12-05T00:00:00,opname.eindhoven.nl,"CN=opname.eindhoven.nl,O=Gemeente Eindhoven,L=Eindhoven,ST=Noord-Brabant,C=NL,2.5.4.5=00000001001902763000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",opname.eindhoven.nl,194.104.77.56,194.104.64.0/20,33915,"TNF-AS, NL",1994-10-28,2004-09-06,NL,ripencc
Gemeente Land van Cuijk,inkomensondersteuning.gemeentelandvancuijk.nl,Yes,2022-05-04T11:00:09,2022-12-04T11:00:09,inkomensondersteuning.gemeentelandvancuijk.nl,"CN=inkomensondersteuning.gemeentelandvancuijk.nl,2.5.4.5=00000001826458385000,O=Gemeente Land van Cuijk,L=Cuijk,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",inkomensondersteuning.gemeentelandvancuijk.nl,194.53.75.201,194.53.72.0/22,28878,"SIGNET-AS, NL",1993-07-19,2003-03-25,NL,ripencc
Gemeente Maashorst,mijnsociaalplein.gemeentemaashorst.nl,Yes,2021-11-25T11:30:45,2022-11-25T11:30:45,mijnsociaalplein.gemeentemaashorst.nl,"CN=mijnsociaalplein.gemeentemaashorst.nl,2.5.4.5=00000001826426669000,O=Gemeente Maashorst,L=Uden,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mijnsociaalplein.gemeentemaashorst.nl,194.53.73.125,194.53.72.0/22,28878,"SIGNET-AS, NL",1993-07-19,2003-03-25,NL,ripencc
Gemeente Moerdijk,www.waterwijkfijnaart.nl,Yes,2022-06-02T13:50:27,2022-12-04T13:50:27,"www.waterwijkfijnaart.nl,waterwijkfijnaart.nl","CN=www.waterwijkfijnaart.nl,2.5.4.5=00000001805329316000,O=Gemeente Moerdijk,L=Zevenbergen,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",www.waterwijkfijnaart.nl,195.72.120.50,195.72.120.0/24,41887,"PROLOCATION Prolocation, NL",2000-08-07,2006-11-09,NL,ripencc
Gemeente Noordenveld,belastingen.itnoordenveld.nl,Yes,2022-03-31T11:20:33,2022-12-04T11:20:33,Belastingen.itnoordenveld.nl,"CN=Belastingen.itnoordenveld.nl,2.5.4.5=00000001806300619000,O=Gemeente Noordenveld,L=Roden,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",Belastingen.itnoordenveld.nl,185.241.184.59,185.241.184.0/24,204754,"SYSACTIVE, NL",2018-01-16,2018-01-16,NL,ripencc
Gemeente Noordoostpolder,ssp.noordoostpolder.nl,Yes,2022-03-03T11:10:17,2022-12-04T11:10:17,ssp.noordoostpolder.nl,"CN=ssp.noordoostpolder.nl,2.5.4.5=00000001001891984000,O=Gemeente Noordoostpolder,L=Emmeloord,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",ssp.noordoostpolder.nl,92.71.248.27,92.71.192.0/18,1136,"KPN KPN National, NL",2007-06-19,1993-09-01,NL,ripencc
Gemeente Scherpenzeel,mijnafspraak.scherpenzeel.nl,Yes,2022-06-13T11:50:16,2022-12-04T11:50:16,mijnafspraak.scherpenzeel.nl,"CN=mijnafspraak.scherpenzeel.nl,2.5.4.5=00000001001104469000,O=Gemeente Scherpenzeel,L=Scherpenzeel,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mijnafspraak.scherpenzeel.nl,217.119.235.157,217.119.224.0/20,16350,"ECHELON-AS Institutenweg 38, NL",2001-02-16,2001-03-08,NL,ripencc
Gemeente Soest,zaaksysteem.soest.nl,Yes,2021-11-23T10:00:34,2022-12-03T10:00:34,zaaksysteem.soest.nl,"CN=zaaksysteem.soest.nl,2.5.4.5=00000001001739682000,O=Gemeente Soest,L=Soest,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",zaaksysteem.soest.nl,18.158.109.140,18.156.0.0/14,16509,"AMAZON-02, US",2019-10-07,2000-05-04,US,arin
Gemeente Twenterand,dloket.twenterand.nl,Yes,2021-11-26T13:50:15,2022-12-04T13:50:15,dloket.twenterand.nl,"CN=dloket.twenterand.nl,2.5.4.5=00000001001584170000,O=Gemeente Twenterand,L=Vriezenveen,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",dloket.twenterand.nl,87.249.120.44,87.249.96.0/19,47886,"EQUINIX-NL-ASN, NL",2005-08-26,2008-09-11,NL,ripencc
Gemeente Utrecht,mijnhulpbijschulden.utrecht.nl,Yes,2022-04-13T10:20:03,2022-12-04T10:20:03,mijnhulpbijschulden.utrecht.nl,"CN=mijnhulpbijschulden.utrecht.nl,2.5.4.5=00000001002220647000,O=Gemeente Utrecht,L=Utrecht,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mijnhulpbijschulden.utrecht.nl,185.206.140.160,185.206.140.0/22,61351,"LINFOSYS, NL",2017-06-01,2020-05-14,NL,ripencc
Gemeente Utrechtse Heuvelrug,werkenbijheuvelrug.nl,Yes,2022-03-09T11:30:21,2022-12-04T11:30:21,"werkenbijheuvelrug.nl,www.werkenbijheuvelrug.nl","CN=werkenbijheuvelrug.nl,O=Gemeente Utrechtse Heuvelrug,L=Doorn,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",werkenbijheuvelrug.nl,84.241.174.205,84.241.128.0/18,20847,"PREVIDER-AS, NL",2004-06-22,2001-06-18,NL,ripencc
Gemeente Utrechtse Heuvelrug,www.mijn.heuvelrug.nl,Yes,2022-03-24T13:10:03,2022-12-04T13:10:03,"www.mijn.heuvelrug.nl,mijn.heuvelrug.nl","CN=www.mijn.heuvelrug.nl,O=Gemeente Utrechtse Heuvelrug,L=Doorn,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",www.mijn.heuvelrug.nl,80.247.174.118,80.247.160.0/20,25542,"DENIT-AS Amsterdam, NL",2008-04-08,2002-12-31,NL,ripencc
Gemeente Weert,pip.weert.nl,Yes,2022-07-22T11:00:15,2022-12-04T11:00:15,pip.weert.nl,"CN=pip.weert.nl,2.5.4.5=00000001001116046000,O=Gemeente Weert,L=Weert,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",pip.weert.nl,194.13.164.177,194.13.160.0/20,205915,"PINKROCCADE, NL",1994-01-10,2017-05-08,NL,ripencc
Gemeente Weert,eloket.weert.nl,Yes,2022-05-30T13:30:02,2022-12-04T13:30:02,eloket.weert.nl,"CN=eloket.weert.nl,2.5.4.5=00000001001116046000,O=Gemeente Weert,L=Weert,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",eloket.weert.nl,31.171.205.182,31.171.200.0/21,31673,"UNISERVER-AS, NL",2011-04-04,2004-07-07,NL,ripencc
Gemeente Wierden,iparticipatie.wierden.nl,Yes,2022-03-10T13:10:02,2022-12-04T13:10:02,iparticipatie.wierden.nl,"CN=iparticipatie.wierden.nl,2.5.4.5=00000001001584182000,O=Gemeente Wierden,L=Wierden,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",iparticipatie.wierden.nl,45.80.232.32,45.80.232.0/22,15879,"KPN-INTERNEDSERVICES KPN Internedservices, NL",2019-05-16,2000-10-26,NL,ripencc
Gemeente s-Hertogenbosch,mijnuitkering.s-hertogenbosch.nl,Yes,2021-12-02T13:50:02,2022-12-04T13:50:02,mijnuitkering.s-hertogenbosch.nl,"CN=mijnuitkering.s-hertogenbosch.nl,2.5.4.5=00000001001709124000,O=Gemeente s-Hertogenbosch,L=s-Hertogenbosch,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mijnuitkering.s-hertogenbosch.nl,213.207.70.230,213.207.64.0/18,9150,"INTERCONNECT Interconnect Services BV, NL",2005-03-30,1999-01-12,NL,ripencc
Halte werk,mijnoverzicht.haltewerk.nl,Yes,2021-11-12T13:10:21,2022-12-04T13:10:21,mijnoverzicht.haltewerk.nl,"CN=mijnoverzicht.haltewerk.nl,2.5.4.5=00000001854645895000,O=Halte werk,L=Alkmaar,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mijnoverzicht.haltewerk.nl,194.53.73.125,194.53.72.0/22,28878,"SIGNET-AS, NL",1993-07-19,2003-03-25,NL,ripencc
Halte werk,mijnzaken.haltewerk.nl,Yes,2022-03-01T15:00:08,2022-12-04T15:00:08,mijnzaken.haltewerk.nl,"CN=mijnzaken.haltewerk.nl,O=Halte werk,L=Alkmaar,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mijnzaken.haltewerk.nl,18.158.109.140,18.156.0.0/14,16509,"AMAZON-02, US",2019-10-07,2000-05-04,US,arin
Hoge Raad der Nederlanden,repos.hogeraad.nl,Yes,2021-12-23T10:23:32,2022-12-05T00:00:00,repos.hogeraad.nl,"CN=repos.hogeraad.nl,O=Hoge Raad der Nederlanden,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",repos.hogeraad.nl,159.46.204.230,159.46.204.0/22,29311,"SOLVINITY-, NL",1993-09-01,2003-07-29,NL,ripencc
Intergemeentelijke Sociale Dienst (ISD) Bollenstreek,mijnloket.isdbollenstreek.nl,Yes,2022-03-17T13:40:21,2022-12-04T13:40:21,Mijnloket.isdbollenstreek.nl,"CN=Mijnloket.isdbollenstreek.nl,2.5.4.5=00000001810562376000,O=Intergemeentelijke Sociale Dienst (ISD) Bollenstreek,L=Lisse,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",Mijnloket.isdbollenstreek.nl,93.154.102.218,93.154.0.0/17,1136,"KPN KPN National, NL",2011-08-31,1993-09-01,NL,ripencc
KPN B.V.,disc.eid-pp.kpn.com,Yes,2022-03-28T09:45:28,2022-12-04T09:45:28,disc.eid-pp.kpn.com,"CN=disc.eid-pp.kpn.com,2.5.4.5=00000003271247010000,O=KPN B.V.,L=Rotterdam,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",disc.eid-pp.kpn.com,145.222.106.249,145.222.0.0/16,21286,"KPN-CORPORATE-MARKET, NL",2002-10-09,2001-10-16,NL,ripencc
KPN B.V.,dvza-o.login.healthexchange.nl,Yes,2022-04-11T13:50:43,2022-12-04T13:50:43,dvza-o.login.healthexchange.nl,"CN=dvza-o.login.healthexchange.nl,O=KPN B.V.,L=Rotterdam,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",dvza-o.login.healthexchange.nl,217.149.65.247,217.149.64.0/20,15879,"KPN-INTERNEDSERVICES KPN Internedservices, NL",2001-03-12,2000-10-26,NL,ripencc
Koninklijke KPN N.V.,mqtt.rvp-azure-dsh.kpn-dsh.com,Yes,2022-04-13T10:10:02,2022-12-04T10:10:02,mqtt.rvp-azure-dsh.kpn-dsh.com,"CN=mqtt.rvp-azure-dsh.kpn-dsh.com,2.5.4.5=00000003020452000000,O=Koninklijke KPN N.V.,L=Rotterdam,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mqtt.rvp-azure-dsh.kpn-dsh.com,20.4.8.47,20.0.0.0/11,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",2017-10-18,1997-03-31,US,arin
Koninklijke KPN N.V.,tracing.rvp-azure-dsh.kpn-dsh.com,Yes,2022-04-13T10:10:33,2022-12-04T10:10:33,tracing.rvp-azure-dsh.kpn-dsh.com,"CN=tracing.rvp-azure-dsh.kpn-dsh.com,2.5.4.5=00000003020452000000,O=Koninklijke KPN N.V.,L=Rotterdam,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",tracing.rvp-azure-dsh.kpn-dsh.com,20.103.255.229,20.64.0.0/10,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",2017-10-18,1997-03-31,US,arin
Koninklijke KPN N.V.,monitoring.rvp-azure-dsh.kpn-dsh.com,Yes,2022-04-13T10:10:40,2022-12-04T10:10:40,monitoring.rvp-azure-dsh.kpn-dsh.com,"CN=monitoring.rvp-azure-dsh.kpn-dsh.com,2.5.4.5=00000003020452000000,O=Koninklijke KPN N.V.,L=Rotterdam,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",monitoring.rvp-azure-dsh.kpn-dsh.com,20.103.255.229,20.64.0.0/10,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",2017-10-18,1997-03-31,US,arin
Koninklijke KPN N.V.,auth.rvp-azure-dsh.kpn-dsh.com,Yes,2022-04-13T10:30:02,2022-12-04T10:30:02,auth.rvp-azure-dsh.kpn-dsh.com,"CN=auth.rvp-azure-dsh.kpn-dsh.com,2.5.4.5=00000003020452000000,O=Koninklijke KPN N.V.,L=Rotterdam,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",auth.rvp-azure-dsh.kpn-dsh.com,20.103.255.229,20.64.0.0/10,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",2017-10-18,1997-03-31,US,arin
